frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
1,34.44,8.24,0.02,147.29
2,0.25,3.65,0.02,16.53
3,5.1,0.3,0.01,27.59
4,19.49,2.05,0.02,82.05
5,0.17,0.11,0.02,7.45
6,0.13,0.27,0.01,5.1
7,0.15,0.11,0.02,8.28
8,0.18,0.28,0.01,6.1
9,0.15,0.09,0.02,7.42
10,0.18,0.51,0.01,9.47
11,0.16,0.1,0.02,8.18
12,11.67,15.59,0.02,73.51
13,0.19,0.09,0.02,9.7
14,0.16,0.49,0.02,8.55
15,0.24,0.1,0.02,6.23
16,0.6,2.35,0.02,24.05
17,0.15,0.1,0.02,7.33
18,0.19,0.41,0.01,6.13
19,0.16,0.09,0.02,5.39
20,0.15,0.39,0.01,7.4
21,0.19,0.15,0.05,7.24
22,0.11,0.43,0.01,8.04
23,0.16,0.09,0.02,7.3
24,1.79,12.66,0.02,100.99
25,0.18,0.1,0.02,10.51
26,0.18,0.53,0.02,7.02
27,0.16,0.09,0.01,7.46
28,0.2,0.45,0.02,5.75
29,0.15,0.08,0.01,4.22
30,0.18,0.59,0.01,4.71
31,0.15,0.1,0.02,7.43
32,0.14,0.55,0.02,4.58
33,0.17,0.09,0.02,9.36
34,0.14,0.57,0.01,7.48
35,0.15,0.09,0.02,7.71
36,0.4,0.35,0.02,6.92
37,0.16,0.1,0.02,9.18
38,0.41,2.78,0.01,16.4
39,9.82,1.19,0.01,43.42
40,0.15,0.46,0.01,7.56
41,8.85,0.59,0.02,63.48
42,0.14,1.64,0.06,10.7
43,0.14,0.09,0.01,7.56
44,0.24,3.49,0.01,9.54
45,0.13,0.08,0.01,4.42
46,0.15,0.81,0.01,6.5
47,0.28,0.08,0.01,6.31
48,0.14,0.83,0.02,5.4
49,0.2,0.15,5.01,17.08
50,0.12,1.55,0.61,7.76
51,0.12,0.28,0.53,7.43
52,7.54,18.83,14.03,85.79
53,0.41,12.33,1.77,37.7
54,0.16,1.73,0.38,7.87
55,0.13,0.14,0.43,6.91
56,0.16,1.12,0.37,8.99
57,0.13,0.16,0.54,7.35
58,0.14,1.4,0.36,12.49
59,0.13,0.21,0.4,7.39
60,1.08,9.43,12.54,48.28
61,0.29,0.17,0.49,12.22
62,0.15,1.6,0.38,8.08
63,0.14,0.17,0.71,11.95
64,0.14,1.1,0.35,10.5
65,0.15,0.18,0.5,6.72
66,0.14,1.51,0.41,13.0
67,11.66,3.24,1.37,117.79
68,0.22,2.64,0.78,11.79
69,0.14,0.15,0.46,7.77
70,0.2,1.2,0.35,8.47
71,0.22,0.26,0.91,8.63
72,2.18,20.67,9.21,136.92
73,0.28,0.21,0.97,11.65
74,13.36,31.05,11.75,171.52
75,0.4,0.18,0.48,8.22
76,0.16,1.69,0.54,9.37
77,0.43,0.47,15.59,101.46
78,0.45,2.86,5.54,78.55
79,0.2,0.13,0.44,5.27
80,14.54,34.9,22.9,234.58
81,0.22,0.31,0.49,11.54
82,0.26,3.31,0.87,13.74
83,0.16,0.17,0.44,6.91
84,23.92,57.77,18.26,201.96
85,0.2,0.16,0.52,12.43
86,0.21,1.87,0.64,10.07
87,0.13,0.14,0.38,6.39
88,0.21,1.23,0.48,9.14
89,0.26,0.32,0.85,9.65
90,1.88,20.87,2.41,89.43
91,0.14,0.09,0.43,7.88
92,0.92,0.48,1.29,10.49
93,0.22,0.16,0.9,8.62
94,0.15,1.28,0.37,8.32
95,0.15,0.16,0.45,8.19
96,0.15,1.06,0.43,8.88
97,0.11,0.14,0.41,7.2
98,9.57,28.4,2.35,125.81
99,0.22,0.14,0.72,15.67
100,0.18,0.52,0.58,9.32
101,0.15,0.09,0.49,6.83
102,0.12,1.22,0.49,7.37
103,0.2,9.52,0.95,131.64
104,0.23,1.43,0.38,12.07
105,0.12,0.15,0.42,8.51
106,0.13,1.11,0.44,8.09
107,0.2,0.23,0.57,7.41
108,3.09,22.29,13.8,115.57
109,0.73,0.19,0.63,11.87
110,0.15,1.07,0.47,11.22
111,0.14,0.17,0.46,7.19
112,0.15,1.87,0.56,10.51
113,0.54,8.99,43.85,134.88
114,0.21,1.37,1.02,22.52
115,0.23,0.13,0.36,6.75
116,0.15,1.71,0.55,11.53
117,0.16,0.16,0.44,8.08
118,0.22,1.77,1.02,12.69
119,0.19,0.25,0.87,10.57
120,0.23,2.83,0.86,13.64
121,2.85,17.77,3.15,125.34
122,0.18,1.52,0.56,12.75
123,0.15,0.17,0.45,8.74
124,0.15,0.8,0.65,9.4
125,15.39,37.02,25.58,178.18
126,0.45,1.66,0.87,32.22
127,4.66,0.21,7.09,82.17
128,13.57,6.65,11.25,83.58
129,0.18,0.09,0.6,7.87
130,0.18,1.61,0.87,11.05
131,8.59,15.7,15.3,110.56
132,10.36,51.92,6.0,152.46
133,0.22,0.32,0.7,13.08
134,0.18,1.26,0.74,12.07
135,0.17,0.22,0.84,8.15
