frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
1,0.26,0.28,0.03,13.96
2,0.18,6.32,0.04,15.71
3,0.2,0.15,0.02,7.67
4,0.12,0.99,0.03,7.85
5,0.23,0.15,0.02,5.81
6,0.31,5.14,0.02,12.89
7,0.9,0.13,0.02,5.85
8,0.13,0.37,0.02,4.71
9,0.15,0.15,0.03,8.29
10,0.13,0.48,0.02,7.12
11,0.23,0.21,0.05,8.79
12,0.16,0.92,0.02,21.59
13,0.27,0.25,0.03,9.68
14,0.24,0.38,0.02,8.23
15,0.25,0.17,0.3,8.05
16,0.17,0.39,0.02,6.13
17,0.17,0.17,0.02,6.64
18,0.14,0.37,0.02,6.61
19,0.15,0.12,0.02,6.84
20,0.14,0.31,0.02,5.06
21,0.13,0.15,0.03,6.11
22,0.08,0.27,0.03,6.24
23,0.11,0.41,0.02,6.77
24,0.15,0.42,0.02,5.18
25,0.3,0.15,0.02,6.35
26,0.13,0.38,0.02,6.28
27,0.09,0.12,0.02,6.47
28,0.12,0.39,0.02,6.97
29,0.17,0.14,0.02,6.52
30,0.12,0.34,0.02,7.48
31,0.15,0.13,0.02,6.03
32,0.11,0.35,0.02,8.69
33,0.11,0.09,0.01,4.05
34,0.16,0.47,0.02,6.09
35,0.18,0.15,0.03,6.43
36,0.13,0.35,0.02,7.23
37,0.12,0.09,0.01,6.23
38,0.14,0.53,0.01,7.3
39,0.26,0.12,0.03,8.73
40,0.13,0.93,0.02,8.14
41,0.13,0.14,0.02,5.68
42,0.27,1.49,0.02,7.03
43,0.12,0.12,0.04,10.39
44,0.2,0.37,0.02,6.41
45,0.08,0.08,0.01,5.99
46,0.11,0.45,0.02,6.22
47,0.1,0.11,0.02,6.24
48,0.09,0.31,0.02,5.33
49,0.08,0.08,0.01,5.96
50,0.1,0.35,0.01,3.88
51,0.1,0.07,0.01,4.82
52,0.08,0.33,0.01,3.83
53,0.09,0.12,0.02,4.94
54,0.09,0.26,0.02,3.93
55,0.45,0.17,0.02,6.16
56,0.1,6.66,0.02,23.26
57,0.13,0.11,0.02,5.9
58,0.09,0.28,0.01,5.24
59,0.1,0.1,0.02,7.41
60,0.07,0.36,0.01,4.58
61,0.11,0.42,51.62,63.34
62,0.09,1.01,48.86,63.44
63,0.08,0.21,5.98,15.22
64,0.15,1.82,11.36,24.62
65,0.07,0.21,21.39,31.64
66,0.1,3.87,32.91,47.83
67,0.07,0.24,23.27,35.67
68,0.09,0.99,31.74,49.03
69,0.07,0.34,29.72,43.71
70,0.07,0.77,31.91,43.47
71,0.1,0.3,28.74,41.49
72,0.07,0.74,25.91,36.56
73,0.07,0.21,17.68,28.66
74,0.08,0.88,28.3,45.26
75,0.09,0.31,15.1,25.27
76,0.09,0.9,23.8,35.33
77,0.12,0.4,24.54,36.79
78,0.1,1.08,29.87,41.79
79,0.12,0.58,29.38,44.8
80,0.09,0.68,42.34,57.97
81,0.09,0.23,30.94,44.55
82,0.13,0.95,46.93,65.93
83,0.14,0.34,32.29,45.14
84,0.06,0.77,34.85,50.12
85,0.09,0.2,21.69,30.97
86,0.1,1.01,27.17,39.54
87,0.07,0.2,19.25,28.04
88,0.08,0.87,26.87,36.86
89,0.07,0.2,23.64,34.49
90,0.09,1.11,31.48,43.31
91,0.08,0.31,22.21,36.89
92,0.07,0.81,29.92,41.52
93,0.08,0.2,23.2,33.81
94,0.1,0.94,29.92,44.55
95,0.07,0.21,20.06,32.47
96,0.11,0.97,18.69,31.28
97,0.07,0.19,15.33,26.28
98,0.09,0.96,20.3,31.35
99,0.08,0.22,23.6,33.01
