frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
1,0.16,0.31,0.04,26.4
2,0.19,2.92,0.03,16.89
3,0.16,0.18,0.02,10.56
4,0.15,0.53,0.05,10.68
5,0.14,0.17,0.02,9.66
6,0.14,0.5,0.02,14.53
7,0.13,0.16,0.02,8.58
8,0.12,0.46,0.03,11.16
9,0.15,0.19,0.03,10.2
10,0.15,0.58,0.02,11.89
11,0.15,0.19,0.03,11.19
12,0.15,0.56,0.02,11.45
13,0.13,0.18,0.03,21.19
14,0.19,0.62,0.02,23.53
15,0.17,0.17,0.02,8.79
16,0.16,0.55,0.03,9.37
17,0.11,0.1,0.01,4.78
18,0.44,0.52,0.04,15.87
19,0.29,0.48,0.03,15.85
20,0.17,0.57,0.03,13.26
21,0.17,0.38,0.06,14.49
22,0.6,26.8,0.03,55.45
23,0.35,0.25,0.03,13.75
24,0.15,0.51,0.03,14.18
25,0.47,0.21,0.03,22.47
26,0.16,0.52,0.03,13.71
27,0.37,0.34,0.02,12.46
28,0.15,0.41,0.01,10.62
29,0.15,0.16,0.02,7.67
30,0.17,0.57,0.08,27.13
31,0.16,0.17,0.02,15.49
32,0.16,0.68,0.03,12.12
33,0.15,0.2,0.03,15.35
34,0.08,0.35,0.02,5.93
35,0.07,0.07,0.01,3.57
36,0.12,0.35,0.02,6.65
37,0.08,0.1,0.01,8.74
38,0.09,0.32,0.02,3.29
39,0.07,0.07,0.01,2.24
40,0.08,0.24,0.01,3.47
41,0.14,0.12,0.02,5.21
42,0.14,1.02,0.02,6.76
43,0.1,0.1,0.02,3.85
44,0.07,0.24,0.02,3.3
45,0.15,0.2,0.03,9.67
46,0.15,0.56,0.03,22.57
47,0.15,0.2,0.03,9.18
48,0.16,0.55,0.03,15.93
49,0.19,0.22,0.04,18.88
50,0.15,0.59,0.04,13.53
51,0.2,0.16,0.02,10.07
52,0.77,0.64,0.03,9.94
53,0.19,0.18,0.02,14.09
54,0.19,0.51,0.08,12.54
55,0.19,0.29,0.04,13.26
56,0.17,0.61,0.03,10.04
57,0.17,0.2,0.03,12.68
58,0.17,0.64,0.03,11.78
59,0.15,0.21,0.04,13.84
60,0.18,0.82,0.04,12.11
61,0.34,0.21,0.03,17.1
62,0.2,0.85,0.03,18.24
63,0.14,0.2,0.03,11.51
64,0.18,0.87,0.1,8.99
65,0.18,0.14,0.05,7.97
66,0.09,0.29,0.02,2.94
67,0.07,0.08,0.01,3.65
68,0.13,0.98,22.54,31.39
69,0.07,0.25,32.39,40.94
70,0.1,1.07,48.94,58.49
71,0.11,0.39,32.45,49.26
72,0.15,1.81,50.58,62.2
73,0.1,0.27,42.6,52.33
74,0.26,1.1,45.54,55.71
