frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
1,4.81,0.15,0.02,54.94
2,0.28,2.67,0.01,10.31
3,0.17,0.11,0.02,7.91
4,0.58,0.41,0.01,8.34
5,0.13,0.08,0.01,11.63
6,0.18,0.5,0.01,10.4
7,0.17,0.08,0.01,8.54
8,0.15,0.38,0.01,6.02
9,0.17,0.08,0.01,7.95
10,0.36,0.31,0.01,7.37
11,0.15,0.1,0.02,11.23
12,1.06,1.18,0.01,38.21
13,0.56,0.27,0.01,90.12
14,0.13,0.4,0.01,9.75
15,0.17,0.08,0.01,8.96
16,0.17,0.57,0.01,5.88
17,0.51,0.2,0.03,9.84
18,0.16,0.25,0.01,7.69
19,0.17,0.07,0.01,6.15
20,0.15,0.38,0.01,7.82
21,15.83,1.0,0.01,47.49
22,0.33,0.37,0.01,10.46
23,0.14,0.08,0.01,5.55
24,0.15,0.46,0.01,6.26
25,0.35,0.08,0.01,13.58
26,9.78,11.86,0.02,51.18
27,0.13,0.08,0.01,5.52
28,0.12,0.46,0.01,6.95
29,0.14,0.07,0.01,8.62
30,0.46,0.39,0.01,14.74
31,0.17,0.07,0.01,10.76
32,0.17,0.43,0.01,5.69
33,0.16,0.08,0.01,5.58
34,0.18,0.35,0.06,8.64
35,0.15,0.09,0.02,9.4
36,0.14,0.39,0.01,7.41
37,0.15,0.08,0.01,13.63
38,0.15,0.35,0.02,5.48
39,0.2,0.08,0.01,9.9
40,0.16,0.41,0.01,6.5
41,0.15,0.06,0.01,5.87
42,0.19,1.38,0.01,7.07
43,0.22,0.11,0.03,8.82
44,0.2,0.9,0.01,9.65
45,0.23,0.1,0.01,13.68
46,4.82,9.75,0.02,33.98
47,0.79,0.24,0.02,8.77
48,0.15,1.11,0.01,9.68
49,0.18,0.09,0.02,11.16
50,0.18,0.95,18.94,32.22
51,0.17,0.1,25.74,42.48
52,0.14,1.04,31.71,74.81
53,0.15,0.25,22.83,55.98
54,0.14,1.85,30.42,64.39
55,0.81,0.64,21.85,51.08
56,7.26,25.66,230.55,688.51
57,0.21,0.36,39.41,258.54
58,1.19,3.46,35.35,73.33
59,0.16,0.28,29.63,63.89
60,0.3,1.44,30.2,64.42
61,21.44,17.65,142.28,513.0
62,0.82,4.94,163.96,526.44
63,0.27,0.5,24.59,56.88
64,0.13,1.6,31.46,69.66
65,0.15,0.28,25.84,51.29
66,0.11,1.04,30.93,57.51
67,0.19,0.31,24.84,56.21
68,0.15,1.88,44.38,79.26
69,0.17,0.3,28.85,56.91
70,0.14,1.24,28.7,59.81
71,0.15,0.21,20.94,46.92
72,0.23,3.07,37.47,88.45
73,0.28,0.26,27.31,60.7
74,0.2,1.53,38.85,72.38
75,0.53,0.56,30.27,61.08
76,0.19,27.78,177.33,567.83
77,0.23,0.58,42.12,84.51
78,0.25,2.44,35.48,68.18
79,0.19,0.35,30.8,67.87
80,0.16,1.11,28.49,59.97
81,0.12,0.21,28.4,47.94
82,7.72,9.31,166.33,522.61
83,2.53,2.68,61.69,124.3
84,0.47,4.25,60.53,113.11
85,0.25,1.45,41.48,101.52
86,1.66,5.76,42.38,99.29
87,0.17,0.23,24.35,53.47
88,0.15,1.37,25.79,62.08
89,0.17,0.33,26.86,64.93
90,0.23,1.79,31.1,84.1
91,1.25,0.11,42.6,86.63
92,0.19,1.29,36.8,93.52
93,0.56,0.2,33.49,65.68
94,0.14,0.92,32.43,68.41
95,0.14,0.23,33.19,62.74
96,0.56,19.33,167.62,626.98
97,0.22,0.64,34.74,75.22
98,0.22,1.55,30.85,62.52
99,0.15,0.3,29.2,55.98
100,0.2,1.2,28.46,61.58
101,0.13,0.23,22.41,47.59
102,0.17,1.11,30.57,65.43
103,0.17,0.26,41.12,76.66
104,0.94,1.57,33.98,93.04
105,1.08,2.21,69.57,87.59
106,0.83,1.77,60.86,104.31
107,1.22,1.89,37.26,78.19
108,7.87,42.03,231.36,753.61
109,0.21,0.36,44.27,97.65
110,0.49,1.64,47.74,82.05
111,0.12,0.26,30.95,65.3
112,0.17,0.97,26.44,55.42
113,0.25,0.37,21.66,48.64
114,13.59,31.11,148.87,740.47
115,0.91,0.8,40.51,83.58
116,2.79,14.82,196.62,544.56
117,0.24,0.74,36.34,73.68
118,0.19,1.35,34.16,71.52
119,0.2,0.37,22.65,52.7
120,0.14,1.0,24.3,55.96
121,0.73,0.25,24.41,59.05
122,0.13,1.24,31.43,68.79
123,0.27,0.52,24.49,54.88
124,4.42,33.69,121.45,553.5
125,1.11,0.26,48.44,301.21
126,0.4,4.07,179.67,587.64
127,0.9,0.85,35.12,76.78
128,0.23,3.81,33.09,70.72
129,0.14,0.34,33.51,63.03
130,0.29,4.84,34.85,74.44
131,0.16,0.24,14.67,46.45
132,0.36,1.82,54.61,120.9
133,1.46,0.29,48.64,94.4
134,0.18,1.24,41.08,87.34
135,2.23,5.36,306.58,739.83
136,1.11,1.83,66.07,263.45
137,0.37,2.62,64.04,130.11
138,0.45,6.1,65.9,128.17
139,0.82,1.18,51.5,111.98
140,1.15,6.75,64.39,126.74
141,0.23,1.89,65.75,117.63
142,3.57,18.24,274.51,357.97
143,0.35,1.84,60.94,422.57
144,0.28,6.63,60.94,115.89
145,0.18,0.29,47.09,94.64
146,0.79,2.71,41.62,81.01
147,0.33,1.05,40.95,78.26
148,0.17,1.62,45.02,78.6
149,0.17,0.28,38.26,82.57
150,0.23,1.24,52.35,100.4
151,11.43,1.82,280.73,882.57
152,0.24,1.59,66.13,147.57
153,0.84,0.47,48.92,97.47
154,1.36,3.84,42.79,91.15
155,0.17,1.25,50.84,106.04
156,0.98,4.51,52.9,106.97
157,1.45,1.25,197.38,504.77
158,0.66,3.64,56.47,108.97
159,0.23,2.35,35.98,73.35
160,0.13,1.12,51.21,99.97
161,1.0,0.27,33.61,72.88
162,0.45,1.77,38.17,76.99
163,0.17,0.26,42.1,75.13
164,0.25,1.87,38.45,77.57
165,1.03,0.79,42.2,99.46
166,0.19,2.32,38.94,80.23
167,0.12,0.21,29.59,61.09
168,0.16,1.26,36.1,66.83
169,0.14,0.28,26.35,63.12
170,0.15,1.16,36.71,71.32
171,1.88,22.46,259.01,701.23
172,0.53,3.09,94.27,177.63
173,1.03,0.35,70.99,128.51
174,0.82,8.24,58.17,124.64
175,0.35,3.22,54.93,98.67
176,0.19,4.11,57.05,111.39
177,1.52,0.67,46.27,88.24
178,0.27,1.3,39.62,78.67
179,0.15,0.27,36.65,67.85
180,0.42,2.31,36.96,72.92
181,0.15,0.31,37.45,93.36
182,0.65,1.31,45.9,91.94
183,0.19,0.4,44.64,80.99
184,4.05,35.85,247.75,697.64
185,0.48,2.32,55.19,412.22
186,1.35,3.91,61.37,107.85
187,1.42,2.19,54.06,100.35
188,0.39,3.18,53.94,103.59
