frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
176,0.96,3.24,70.23,114.01
177,0.26,1.3,159.28,438.05
178,0.32,4.37,41.87,73.32
179,0.44,2.37,33.36,64.73
180,0.75,1.81,42.28,76.35
181,0.24,0.27,35.02,67.46
182,0.34,2.2,42.42,71.8
183,0.31,1.59,32.29,65.03
184,0.24,1.67,33.67,63.56
185,2.32,5.92,297.44,876.08
186,0.61,22.32,150.79,330.3
187,0.44,2.93,234.95,781.16
188,0.77,11.84,131.89,255.72
189,0.28,1.55,153.0,379.45
190,0.74,4.3,51.55,96.07
191,0.38,0.22,33.83,63.27
192,6.14,7.68,196.5,348.89
193,3.33,2.09,121.07,154.38
194,0.16,9.44,41.21,80.99
195,1.36,8.35,219.48,467.1
196,0.63,2.78,50.96,87.04
197,0.15,0.92,28.47,49.06
198,0.49,2.71,28.51,62.49
199,0.38,0.72,23.13,44.66
200,0.29,0.96,27.22,58.37
201,0.2,0.25,35.31,66.02
202,0.68,23.67,163.12,521.84
203,0.21,0.44,40.95,73.06
204,0.21,2.28,36.14,70.74
205,0.16,0.31,44.41,71.92
206,0.51,2.05,67.78,92.42
207,0.29,2.93,182.59,487.41
208,1.17,4.55,48.58,88.94
209,0.3,1.9,38.82,65.68
210,0.3,1.37,42.38,70.57
211,1.33,3.09,173.59,547.79
212,0.17,1.35,53.23,85.43
213,7.88,11.98,164.08,388.98
214,0.56,1.24,48.66,87.34
215,15.48,4.04,172.48,674.64
216,0.18,2.02,60.52,96.6
217,0.15,0.22,28.32,53.93
218,0.23,2.19,76.18,117.23
219,0.31,0.96,41.19,71.24
220,0.28,3.28,61.01,89.87
221,0.21,0.22,27.89,55.45
222,0.15,1.21,44.47,74.07
223,0.24,0.55,27.59,47.94
224,0.3,2.36,58.13,90.44
225,0.18,0.13,34.88,58.54
226,0.27,1.07,45.4,78.08
227,0.21,0.18,43.99,78.52
228,0.2,2.1,71.45,105.74
229,0.32,0.42,37.69,65.98
230,0.17,1.42,58.97,90.05
231,0.64,26.98,195.22,809.27
232,0.3,1.63,66.15,105.14
233,2.21,2.64,82.88,138.08
234,0.21,31.84,64.64,125.66
235,0.21,0.85,54.15,87.51
236,0.56,1.36,39.51,73.04
237,4.25,3.28,192.69,538.73
238,0.39,3.75,87.31,388.84
239,0.83,2.02,63.61,107.35
240,0.43,2.16,129.36,389.54
241,0.72,0.46,34.35,74.86
242,0.2,5.65,82.66,126.19
243,0.23,0.71,80.53,126.38
244,0.25,7.6,55.22,103.87
245,0.19,1.1,42.25,67.31
246,0.32,10.05,60.34,114.64
247,0.27,0.14,55.73,83.8
248,0.43,2.32,44.78,91.07
249,0.35,0.63,40.66,106.99
250,5.7,59.48,97.52,192.93
251,0.56,1.13,47.67,90.65
252,0.92,16.62,68.91,130.8
253,0.24,0.17,35.59,62.82
254,0.49,19.5,37.85,90.16
255,0.39,0.18,58.86,97.47
256,0.35,3.83,69.77,111.37
257,0.3,0.21,99.24,156.4
258,1.21,5.02,103.41,205.23
259,0.28,2.4,178.33,334.61
260,1.92,20.84,188.5,668.98
261,0.58,4.66,125.77,237.04
262,1.82,21.22,147.59,268.79
263,1.04,6.17,105.25,197.47
264,0.48,17.49,119.89,225.01
265,0.44,0.57,134.4,257.84
266,0.55,11.81,125.71,222.81
267,2.34,1.39,100.1,174.22
268,2.41,12.05,413.03,599.1
269,0.38,0.39,49.45,193.8
270,0.33,6.05,47.26,79.85
271,0.15,1.01,34.61,62.34
272,0.19,2.7,46.41,94.43
273,1.35,2.71,41.2,79.66
274,0.55,1.34,36.03,63.82
275,0.42,0.56,36.1,64.41
276,0.96,2.52,57.65,96.06
277,0.71,1.05,27.19,57.96
278,0.29,1.84,36.18,53.02
279,0.92,0.26,32.51,62.1
280,0.15,2.55,46.65,78.16
281,0.17,0.97,71.3,96.28
282,1.25,6.54,224.69,595.55
283,1.64,3.16,63.35,100.85
284,1.23,2.76,49.56,80.33
285,1.75,1.7,214.41,363.88
286,0.15,50.34,49.42,135.29
287,0.97,1.69,90.15,138.34
288,0.48,2.72,70.33,124.59
289,0.26,1.81,93.49,145.04
290,0.76,10.14,225.31,268.49
291,0.16,1.24,42.22,76.88
292,1.64,13.2,171.85,429.95
293,2.13,0.74,121.65,233.12
294,0.65,6.0,145.8,223.97
295,1.29,3.44,116.44,205.13
296,0.39,6.07,154.75,283.82
297,3.21,2.48,129.8,230.12
298,0.33,18.38,120.98,230.92
299,0.25,0.37,65.48,133.97
