frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
1,0.91,0.18,0.02,84.64
2,0.15,4.53,0.02,25.82
3,0.24,0.27,0.03,26.58
4,0.26,0.91,0.03,29.56
5,0.27,0.21,0.03,18.85
6,0.3,0.61,0.01,19.9
7,0.34,0.19,0.03,16.15
8,0.32,0.85,0.03,17.57
9,15.21,2.71,0.04,98.01
10,0.48,0.89,0.03,27.92
11,0.25,0.18,0.03,30.5
12,0.33,0.65,0.02,24.87
13,16.86,2.25,0.03,87.38
14,0.3,0.57,0.05,20.83
15,0.24,0.16,0.02,18.97
16,0.25,0.61,0.02,17.53
17,0.28,0.18,0.03,15.03
18,0.31,0.86,0.06,28.18
19,0.4,0.09,0.01,30.96
20,0.25,0.63,0.03,25.29
21,0.27,0.21,0.03,24.39
22,0.26,0.63,0.03,22.54
23,0.26,0.33,0.04,19.05
24,0.32,0.66,0.02,24.05
25,7.29,4.76,0.03,101.6
26,1.08,2.95,0.04,30.94
27,0.34,0.16,0.02,75.36
28,0.26,29.92,0.04,60.05
29,0.24,0.17,0.02,27.36
30,20.95,8.2,0.03,82.87
31,3.36,21.2,0.03,87.37
32,0.25,0.7,0.02,23.01
33,0.46,0.18,0.03,21.54
34,4.31,5.05,0.02,92.97
35,0.24,0.16,0.02,20.65
36,0.28,1.2,0.05,34.91
37,0.31,0.22,0.03,33.8
38,0.29,0.98,0.03,21.76
39,9.24,0.75,0.02,70.83
40,0.28,0.41,0.02,19.0
41,0.29,0.17,0.03,25.57
42,0.25,4.65,0.03,24.75
43,0.32,0.21,0.03,29.42
44,0.57,3.7,0.02,29.78
45,0.24,0.16,0.02,25.3
46,14.3,34.18,0.02,107.4
47,0.35,0.22,0.04,20.05
48,0.26,3.06,0.03,22.17
49,2.04,16.44,0.03,117.77
50,0.32,3.61,0.03,21.1
