frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
1,0.19,0.3,0.01,22.8
2,2.51,36.39,0.02,133.39
3,0.24,1.32,0.02,13.29
4,10.32,6.79,0.02,88.0
5,0.17,0.11,0.02,25.04
6,0.22,5.93,0.02,22.95
7,0.18,0.12,0.02,16.29
8,0.21,4.02,0.02,24.09
9,8.56,0.12,0.02,106.83
10,0.32,1.99,0.02,64.49
11,0.2,0.13,0.02,27.7
12,0.25,1.17,0.03,18.04
13,20.38,0.41,0.07,135.74
14,0.33,3.1,0.02,42.09
15,0.2,0.1,0.01,11.52
16,0.33,0.4,0.02,10.03
17,0.2,0.11,0.02,12.37
18,7.88,26.25,0.02,138.93
19,0.32,0.16,0.02,16.79
20,0.31,52.32,0.02,171.83
21,0.33,0.5,0.02,27.09
22,14.26,47.72,0.02,186.22
23,0.19,0.89,0.02,15.11
24,5.88,20.83,0.03,166.14
25,0.24,0.13,0.01,21.34
26,5.4,14.97,0.02,137.09
27,0.25,0.1,0.01,17.13
28,8.42,62.77,0.02,144.01
29,0.28,0.56,0.02,14.96
30,48.76,23.37,0.02,134.8
31,0.31,1.26,0.02,15.28
32,43.08,29.53,0.02,112.42
33,0.65,0.17,0.02,14.26
34,0.21,0.36,0.01,11.44
35,0.15,0.08,0.01,8.92
36,0.18,0.41,0.01,7.37
37,0.18,0.09,0.02,12.25
38,0.15,0.3,0.01,6.03
39,0.15,0.07,0.01,6.68
40,43.55,98.75,0.02,293.37
41,0.25,0.45,0.01,18.32
42,26.69,34.15,0.02,124.83
43,0.28,0.13,0.02,12.44
44,17.98,50.81,0.03,173.28
45,0.23,0.81,0.02,21.64
46,0.13,1.23,0.01,9.81
47,1.02,16.13,0.05,112.04
48,0.31,3.39,0.02,23.93
49,0.38,13.14,0.02,147.37
50,0.25,1.71,0.03,14.16
51,21.02,0.11,0.02,78.41
52,0.62,3.12,0.01,15.83
53,0.18,0.1,0.02,10.88
54,0.16,1.73,0.02,10.48
55,0.22,0.1,0.01,17.36
56,0.6,1.4,0.02,10.11
57,0.22,0.11,0.02,8.33
58,15.46,46.98,0.02,196.29
59,0.23,0.29,0.01,10.91
60,8.04,39.7,0.01,119.97
61,0.32,0.12,0.02,22.12
62,0.24,0.89,0.02,9.16
63,0.23,0.1,0.02,9.8
64,0.42,0.94,0.02,11.19
65,103.62,32.06,596.79,1025.36
66,0.59,5.2,68.19,159.02
67,0.45,2.61,74.94,155.48
68,1.32,7.81,51.3,132.08
69,0.87,1.19,35.56,935.42
70,0.27,5.15,51.15,132.71
71,0.43,1.89,40.24,87.95
72,0.15,1.35,28.19,64.52
73,14.92,80.73,328.55,1074.3
74,0.19,5.75,45.7,148.63
75,0.18,0.38,58.08,685.84
76,0.29,1.44,45.56,167.19
77,0.47,3.41,48.95,651.1
78,2.05,5.24,54.01,142.74
79,0.9,0.95,242.51,949.71
80,0.35,1.73,49.98,109.21
81,1.65,2.56,149.84,880.3
82,1.66,5.63,59.48,122.48
83,0.8,0.51,365.5,1256.32
84,0.41,1.9,56.07,134.08
85,1.22,1.73,56.75,464.18
86,2.34,13.83,57.89,131.84
87,1.45,1.36,43.07,84.85
88,0.14,0.89,32.99,74.76
89,11.64,12.73,621.47,1465.93
90,0.31,2.07,51.73,124.59
91,1.45,9.13,68.63,141.36
92,0.32,4.1,51.24,104.37
93,0.54,9.3,377.07,1007.27
