frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
1,0.29,0.18,0.02,9.84
2,0.13,1.76,0.01,6.64
3,0.1,0.12,0.02,6.43
4,0.09,0.25,0.01,5.2
5,0.16,0.11,0.01,6.86
6,0.1,0.39,0.02,4.86
7,0.17,0.14,0.02,6.02
8,0.11,0.31,0.01,8.98
9,0.19,0.12,0.02,5.43
10,0.08,0.35,0.01,3.87
11,0.15,0.16,0.02,4.25
12,0.09,0.23,0.01,11.23
13,0.25,0.19,0.02,7.2
14,0.09,0.26,0.01,5.33
15,0.09,0.1,0.02,4.55
16,0.08,0.36,0.02,4.66
17,0.38,0.11,0.02,6.19
18,0.09,0.33,0.01,6.25
19,0.11,0.08,0.01,4.39
20,0.09,0.25,0.02,5.27
21,0.09,0.11,0.02,5.21
22,0.12,0.31,0.01,5.28
23,0.11,0.1,0.02,5.32
24,0.16,1.06,0.02,15.89
25,0.1,0.08,0.01,6.62
26,0.13,0.52,0.01,5.09
27,0.09,0.07,0.01,4.1
28,0.35,1.19,0.03,5.53
29,0.1,0.09,0.01,4.63
30,0.15,0.29,0.02,5.18
31,0.19,0.25,0.02,6.0
32,0.13,0.27,0.02,4.0
33,0.09,0.08,0.01,3.24
34,0.29,0.28,0.01,3.92
35,0.4,0.1,0.1,13.17
36,0.11,0.26,0.02,4.57
37,0.1,0.09,0.01,7.39
38,0.17,0.26,0.01,5.23
39,0.2,0.11,0.02,6.06
40,0.08,0.26,0.02,7.47
41,0.13,0.1,0.02,5.1
42,0.1,0.88,0.01,5.71
43,0.13,0.11,0.02,6.29
44,0.09,0.3,0.03,4.31
45,0.14,0.11,0.02,5.29
46,0.09,0.23,0.01,4.38
47,0.12,0.11,0.02,3.83
48,0.09,0.3,0.01,4.23
49,0.1,0.09,0.01,6.44
50,0.08,0.34,0.02,3.72
51,0.15,0.09,0.01,4.43
52,0.1,0.22,0.01,4.47
53,0.16,0.13,0.02,4.38
54,0.09,0.42,0.01,4.46
55,0.09,0.28,43.93,61.02
56,0.23,1.47,42.75,59.52
57,0.11,0.43,17.8,30.79
58,0.12,1.37,22.24,35.04
59,0.09,0.2,20.11,30.32
60,0.21,1.24,24.45,42.82
61,0.09,0.27,38.79,57.12
62,0.21,1.05,31.76,46.03
63,0.1,0.22,25.07,36.7
64,0.09,0.71,28.44,42.76
65,0.08,0.2,18.75,29.54
66,0.11,0.73,26.85,40.23
67,0.1,0.23,29.42,40.32
68,0.08,0.71,29.59,38.88
69,0.12,0.24,27.94,39.71
70,0.1,0.97,31.89,42.03
71,0.08,0.22,37.85,51.54
72,0.11,0.96,34.8,54.91
73,0.11,0.4,31.34,47.82
74,0.09,0.66,34.42,45.36
75,0.14,0.48,28.85,41.88
76,0.08,0.73,38.66,53.33
77,0.36,0.36,25.74,37.26
78,0.09,0.71,37.47,50.58
79,0.43,0.23,1011.72,1024.13
80,0.08,2.32,55.25,81.69
81,1.18,0.12,39.76,58.12
82,0.54,9.98,54.53,82.14
83,0.08,0.09,33.3,52.15
84,0.08,0.64,34.21,47.36
85,0.17,0.39,21.66,35.99
86,0.08,0.79,28.42,39.99
87,0.08,0.21,21.31,33.27
88,0.08,0.81,32.09,45.8
89,0.09,0.23,29.7,43.12
90,0.15,1.35,40.07,52.64
91,0.12,0.37,25.87,39.03
92,0.35,1.1,36.62,57.08
93,0.08,0.24,33.14,48.73
94,0.13,0.69,29.69,45.63
95,0.09,0.23,30.72,43.13
96,0.21,0.83,36.52,51.8
97,0.24,0.22,20.69,32.81
98,0.09,0.73,27.73,41.99
99,0.12,0.22,25.18,33.92
100,0.08,0.71,25.5,40.33
101,0.08,0.21,19.86,31.69
102,0.11,0.64,30.44,41.87
103,0.09,0.32,30.96,41.36
104,0.08,0.72,35.64,48.39
105,0.07,0.19,28.99,44.03
106,0.08,0.72,28.33,39.43
107,0.1,0.27,29.99,42.45
108,0.08,0.76,34.17,48.13
109,0.12,0.44,31.16,47.77
110,0.12,0.99,37.41,53.9
111,0.19,0.45,32.67,54.03
112,0.11,1.0,36.35,50.96
113,0.24,0.32,25.1,38.11
114,0.12,0.88,30.42,46.28
115,0.18,0.34,20.62,31.44
116,0.08,0.73,27.65,39.28
117,0.14,0.37,23.3,34.47
118,0.14,11.56,59.97,97.36
119,0.12,0.35,42.26,58.44
120,0.11,0.56,44.64,63.19
121,0.15,0.14,46.98,66.1
122,0.09,0.68,38.72,61.54
123,0.11,0.44,27.59,41.68
124,0.11,0.96,34.02,47.04
125,0.09,0.21,19.54,27.59
126,0.08,0.72,33.45,46.32
127,0.1,0.21,23.85,36.27
128,0.13,0.96,35.08,46.38
129,0.12,0.5,31.52,47.09
130,0.16,1.47,25.98,45.22
131,0.12,0.32,30.01,44.39
132,0.11,1.0,39.49,55.38
133,0.1,0.22,31.3,44.47
134,0.12,0.99,35.3,49.18
135,0.11,0.35,30.66,42.95
136,0.09,0.64,32.98,55.88
137,0.08,0.21,27.31,36.99
138,0.1,1.04,32.69,47.39
139,0.09,0.22,24.08,33.9
140,0.09,0.77,27.58,41.82
141,0.1,0.39,32.03,43.06
142,0.15,2.23,52.85,68.44
143,0.14,0.22,22.16,32.83
144,0.11,0.92,33.98,48.79
145,0.4,0.34,26.04,42.03
146,0.08,0.69,47.09,77.03
147,0.15,0.39,25.63,39.51
148,0.08,0.72,34.29,47.74
149,0.12,0.27,28.0,42.68
150,0.07,0.65,40.32,55.1
151,0.11,0.3,32.68,46.49
152,0.09,0.8,42.94,60.27
153,0.21,0.26,25.27,38.91
154,0.08,0.78,33.06,46.96
155,0.09,0.22,34.95,69.26
156,0.12,5.2,52.0,74.79
157,0.12,0.43,39.78,56.82
158,0.08,0.57,44.38,57.98
159,0.09,0.24,34.98,67.33
160,0.16,1.7,33.3,49.17
161,0.11,0.42,37.97,52.15
162,0.17,0.74,38.72,54.62
163,0.11,0.27,35.76,50.31
164,0.11,0.79,44.87,65.87
165,0.23,0.24,33.37,48.18
166,0.1,0.85,38.74,52.57
167,0.09,0.26,28.09,42.03
168,0.08,0.72,35.98,50.14
169,0.12,0.5,35.53,50.76
170,0.11,0.98,39.0,57.26
171,0.09,0.33,32.51,58.52
172,0.1,0.94,41.87,55.6
173,0.08,0.22,25.09,36.2
174,0.09,0.65,36.28,50.8
175,0.08,0.23,30.15,45.16
176,0.09,0.72,38.02,53.44
177,0.11,0.44,34.17,52.9
178,0.09,0.61,37.1,51.24
179,0.13,0.36,22.18,33.32
180,0.09,0.72,24.77,36.05
181,0.15,0.62,29.43,47.16
182,0.08,0.66,37.57,52.59
183,0.37,0.33,25.63,42.6
184,0.14,0.92,35.33,49.01
185,0.14,0.37,32.95,47.52
186,0.08,0.7,38.18,53.14
187,0.09,0.21,26.43,43.96
188,0.08,0.7,36.11,51.68
189,0.12,0.38,25.63,34.69
190,0.1,0.72,35.46,50.38
191,0.1,0.32,34.75,52.47
192,0.08,0.6,34.13,48.02
193,0.11,0.36,26.59,43.05
194,0.08,0.71,45.85,63.65
195,0.09,0.24,30.69,47.38
196,0.12,0.74,40.44,54.37
197,0.1,0.27,34.06,45.36
198,0.08,0.78,41.66,53.1
199,0.09,0.22,26.34,39.76
200,0.11,1.16,37.2,53.29
201,0.1,0.28,43.01,61.21
202,0.12,0.93,37.8,53.39
203,0.1,0.23,30.1,41.59
204,0.2,1.06,29.62,43.69
205,0.09,0.22,28.31,48.07
206,0.12,0.87,35.97,54.78
207,0.09,0.21,25.6,35.83
208,0.09,0.76,32.9,46.12
209,0.09,0.32,20.89,29.89
210,0.11,0.83,33.98,55.54
211,0.13,0.37,57.47,76.44
212,0.1,0.82,34.32,47.78
213,0.38,0.83,36.94,55.65
214,0.17,0.79,40.8,57.8
215,0.09,0.22,28.31,40.05
216,0.22,0.88,43.21,60.51
217,0.1,0.32,32.5,51.82
218,0.3,1.0,50.3,67.09
219,0.09,0.24,35.6,50.26
220,0.14,1.0,38.41,53.3
221,0.22,0.21,27.8,39.02
222,0.2,0.77,40.23,58.28
223,0.08,0.2,16.87,25.91
224,0.09,0.77,22.6,34.64
225,0.1,0.27,17.06,29.31
226,0.08,0.75,24.49,39.27
