frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
1,0.59,0.43,0.01,78.94
2,1.89,29.94,0.02,57.21
3,0.19,0.1,0.02,6.65
4,1.89,1.53,0.02,15.57
5,29.87,0.47,0.01,50.25
6,0.14,0.4,0.01,6.32
7,0.22,0.13,0.02,7.0
8,0.15,0.55,0.02,6.51
9,0.97,0.22,0.02,31.53
10,0.15,0.28,0.01,6.24
11,0.16,0.08,0.01,4.73
12,0.2,0.88,0.01,7.54
13,1.97,0.46,0.01,49.75
14,0.21,0.43,0.03,6.69
15,0.18,0.09,0.02,6.77
16,0.17,0.31,0.01,4.53
17,0.63,1.25,0.02,55.55
18,1.59,5.01,0.01,38.3
19,0.16,0.07,0.01,4.7
20,0.13,0.43,0.01,5.6
21,22.58,7.02,0.02,93.2
22,0.16,0.45,0.01,6.72
23,0.17,0.1,0.02,7.04
24,0.14,0.44,0.01,5.77
25,0.15,0.12,0.02,10.02
26,0.17,0.55,0.02,5.71
27,0.15,0.11,0.02,7.63
28,0.14,0.33,0.02,6.12
29,0.13,0.07,0.01,5.9
30,0.2,0.53,0.02,5.02
31,0.14,0.07,0.01,4.2
32,0.15,0.46,0.01,6.15
33,0.24,0.09,0.03,6.2
34,0.21,0.38,0.02,6.65
35,0.17,0.09,0.03,5.34
36,0.13,0.48,0.01,5.73
37,0.2,0.12,0.02,9.84
38,2.6,15.16,0.02,58.49
39,0.2,0.1,0.02,7.8
40,0.19,0.49,0.01,4.77
41,6.01,3.33,0.02,61.54
42,0.14,1.17,0.02,6.87
43,14.25,41.62,16.6,115.48
44,0.28,1.53,0.62,13.14
45,0.15,0.13,0.39,7.7
46,0.15,1.11,0.62,10.5
47,0.24,0.2,0.65,12.12
48,13.47,20.39,1.33,93.18
49,0.2,0.19,0.6,13.04
50,0.15,1.0,0.41,11.28
51,0.13,0.17,0.53,8.32
52,0.15,1.42,0.38,9.81
53,5.02,12.95,1.18,122.49
54,0.26,1.65,0.61,10.21
55,0.14,0.17,0.42,7.06
56,0.29,0.67,0.45,7.84
57,0.17,0.18,0.72,8.81
58,1.85,38.24,16.92,127.75
59,1.31,0.13,0.43,11.46
60,0.17,0.92,0.34,8.75
61,5.06,40.91,3.41,132.96
62,0.35,1.39,0.63,12.15
63,0.14,0.16,0.46,7.12
64,0.13,0.96,0.38,9.41
65,11.99,1.27,15.81,134.9
66,0.23,1.34,0.42,21.87
67,0.15,0.13,0.36,5.66
68,0.23,1.6,0.77,9.87
69,0.11,0.14,0.37,5.75
70,0.27,2.88,0.43,10.79
71,0.13,0.14,0.48,7.05
72,24.51,6.06,14.91,123.09
73,0.19,0.09,0.47,12.64
74,0.2,1.27,0.52,11.48
75,0.11,0.15,0.38,5.88
76,17.88,32.6,12.79,166.16
77,0.8,1.4,0.7,12.88
78,0.15,0.95,0.46,7.68
79,0.17,0.2,0.73,7.9
80,9.56,41.38,16.15,189.86
81,0.26,0.19,0.47,9.83
82,0.26,2.0,0.59,11.24
83,6.38,34.26,55.33,202.28
84,0.2,1.93,0.67,11.55
85,0.15,0.15,0.46,12.01
86,0.16,1.46,0.68,9.81
87,0.11,0.13,0.39,6.09
88,0.17,1.68,0.59,10.22
89,0.15,0.22,0.78,8.93
90,0.15,1.07,0.34,7.74
91,0.28,0.27,0.7,8.52
