frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
1,7.28,1.23,0.02,112.07
2,0.98,5.32,0.02,20.77
3,0.64,0.15,0.02,10.79
4,0.24,0.41,0.01,6.73
5,0.17,0.1,0.01,9.15
6,0.12,0.4,0.01,7.04
7,0.13,0.08,0.01,6.93
8,0.24,0.44,0.01,7.25
9,0.19,0.11,0.01,9.91
10,0.18,0.35,0.01,8.93
11,0.16,0.09,0.01,8.51
12,0.19,0.37,0.01,9.74
13,0.15,0.09,0.01,16.86
14,0.2,0.43,0.01,11.49
15,0.16,0.1,0.03,9.15
16,0.24,0.29,0.01,9.34
17,0.21,0.1,0.01,13.87
18,0.29,0.62,0.08,10.67
19,0.14,0.1,0.01,6.68
20,0.14,0.44,0.01,7.84
21,0.16,0.09,0.01,9.11
22,0.32,0.41,0.01,6.47
23,16.12,3.62,0.02,83.17
24,0.16,0.32,0.01,9.69
25,0.16,0.1,0.03,9.55
26,1.46,14.33,0.02,71.32
27,0.33,0.11,0.02,9.49
28,0.13,0.4,0.01,6.11
29,0.14,0.07,0.01,7.79
30,0.14,0.42,0.02,7.29
31,0.16,0.08,0.01,6.01
32,0.14,0.55,0.01,7.53
33,0.17,0.1,0.02,11.6
34,0.23,0.38,0.01,8.41
35,0.16,0.12,0.02,10.11
36,6.26,32.63,0.04,108.35
37,0.15,0.09,0.01,15.68
38,0.21,0.82,0.01,9.3
39,0.18,0.1,0.01,8.9
40,0.84,15.38,0.02,67.4
41,0.16,0.09,0.02,8.99
42,0.23,1.43,0.01,12.21
43,0.13,0.08,0.01,6.98
44,0.14,0.89,0.01,11.16
45,0.23,0.1,0.02,10.01
46,0.16,0.9,0.01,8.05
47,0.17,0.35,14.74,25.16
48,0.14,1.15,26.59,41.09
49,0.17,0.1,28.32,48.72
50,0.26,1.08,26.14,62.54
51,0.17,0.42,26.96,61.66
52,0.15,1.44,22.64,50.12
53,0.26,0.39,18.93,50.25
54,0.15,1.85,25.75,57.86
55,0.15,0.27,19.62,45.81
56,0.14,1.96,27.31,63.48
57,0.46,0.27,17.53,41.63
58,0.18,2.58,20.45,57.23
59,0.22,0.43,22.51,51.78
60,29.71,25.46,124.24,660.97
61,0.25,0.6,11.9,78.57
62,38.69,18.48,131.6,808.91
63,0.97,0.37,24.03,66.53
64,0.12,1.38,28.45,56.14
65,10.43,12.47,228.43,540.69
66,1.03,1.29,35.19,98.56
67,0.14,0.17,22.23,50.72
68,0.15,1.49,25.43,59.12
69,0.15,0.27,22.48,50.39
70,0.15,1.47,30.48,65.79
71,0.19,0.3,21.63,50.45
72,1.13,17.84,109.83,531.87
73,0.31,0.45,37.76,87.55
74,0.11,1.32,32.48,63.13
75,0.21,0.32,25.42,52.51
76,0.15,1.31,32.03,64.4
77,0.28,0.46,18.7,44.14
78,0.18,1.22,35.48,69.59
79,1.21,45.07,211.32,633.83
80,0.23,1.45,47.42,99.34
81,0.87,21.49,162.16,446.71
82,0.26,2.42,43.16,102.94
83,3.66,27.86,190.71,521.95
84,0.26,1.48,37.83,85.45
85,0.18,0.31,27.56,50.92
86,0.15,1.26,25.89,71.59
87,0.22,0.23,71.03,107.16
88,0.27,1.21,31.45,74.1
89,0.28,0.35,28.84,58.69
90,0.23,1.32,57.02,119.5
91,0.57,0.22,45.31,260.84
92,0.32,15.15,37.76,355.89
93,0.19,0.21,33.26,75.41
94,0.17,1.41,23.68,60.21
95,0.16,0.22,25.27,60.63
96,0.16,1.06,28.73,66.17
97,6.62,6.45,155.42,546.76
98,0.21,2.11,39.29,73.92
99,0.22,0.44,7.06,23.92
100,0.14,0.79,24.4,58.72
101,1.93,12.44,177.62,705.76
102,0.21,1.06,35.3,84.37
103,21.43,38.09,178.79,966.56
104,0.2,1.44,39.0,74.21
105,3.53,2.96,217.81,845.12
106,0.22,1.05,42.6,79.73
107,0.22,0.23,21.27,42.39
108,0.32,1.66,25.79,60.73
109,0.16,0.22,24.04,54.75
110,0.44,1.78,28.34,57.63
111,0.14,0.21,20.42,38.2
112,5.62,18.29,126.45,623.5
113,0.64,0.57,29.81,70.04
114,0.23,1.43,27.65,60.86
115,0.2,0.23,23.3,46.04
116,0.3,1.77,23.89,51.83
117,0.16,0.32,20.43,44.52
118,0.24,2.67,28.74,61.95
119,0.14,0.2,22.7,47.81
120,0.14,1.3,30.27,67.58
121,0.12,0.21,18.21,45.35
122,0.24,2.71,6.86,42.18
123,2.28,94.46,247.79,786.95
124,0.18,1.42,33.22,85.39
125,0.22,0.27,20.48,42.92
126,0.18,1.14,144.18,174.16
127,0.62,0.41,41.81,84.27
128,0.16,1.41,25.23,51.51
129,0.15,0.21,30.28,60.63
130,0.2,1.89,29.26,64.56
131,0.49,10.74,172.56,513.88
132,0.28,1.24,39.79,91.99
133,0.21,0.22,24.14,51.69
134,0.14,1.41,24.23,61.79
135,0.14,0.21,16.68,38.71
136,0.25,2.66,29.3,66.05
137,0.23,0.49,27.22,63.62
138,0.3,1.43,47.3,77.91
139,0.19,0.39,21.97,46.34
140,0.15,1.24,24.51,59.8
141,0.19,0.27,19.54,49.52
142,0.27,1.13,26.05,53.14
143,0.14,0.47,18.59,49.06
144,0.17,2.02,25.33,59.31
145,0.16,0.26,21.49,50.8
146,0.15,1.08,23.69,50.62
147,0.27,0.35,21.74,52.2
148,0.18,1.42,32.84,73.06
149,0.15,0.26,21.88,45.59
150,0.57,23.83,109.9,609.26
151,0.28,0.67,28.58,56.81
152,4.05,29.29,179.27,692.98
153,0.43,0.9,30.97,73.47
154,8.02,19.32,102.53,589.55
155,0.29,0.6,32.28,70.03
156,0.29,1.52,22.24,49.79
157,0.15,0.27,27.16,61.14
158,11.61,14.28,202.08,582.26
159,1.27,0.37,31.19,351.8
160,0.22,1.47,37.42,70.31
161,0.16,0.25,17.2,43.45
162,0.15,1.09,33.24,67.16
163,0.15,0.21,20.7,48.14
164,1.86,11.69,117.31,502.69
165,0.24,0.55,19.16,45.31
166,22.24,31.18,93.04,782.05
167,0.34,0.54,34.79,72.48
168,0.11,1.23,24.22,54.16
169,0.18,0.28,12.64,40.54
170,0.11,1.15,20.58,46.9
171,0.14,0.21,17.3,41.31
172,0.19,2.24,21.14,47.08
173,0.16,0.23,21.19,45.53
174,0.16,1.35,22.41,57.8
175,0.14,0.22,21.45,48.38
176,29.66,13.46,214.82,681.78
177,0.28,0.52,26.72,56.97
178,0.15,1.18,30.77,53.28
179,6.44,10.9,205.34,407.43
180,0.18,4.1,25.33,74.88
181,0.11,0.2,26.43,58.56
182,0.53,19.16,164.14,521.5
183,0.64,0.5,25.07,53.91
184,8.89,18.6,126.82,629.28
185,0.22,0.54,42.67,78.26
186,0.12,1.53,28.79,56.81
187,0.33,0.24,25.85,53.37
188,0.18,1.28,32.73,62.1
189,15.77,27.7,203.37,524.04
190,0.66,2.73,33.82,313.33
