frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
1,0.12,0.15,0.02,10.43
2,0.11,1.98,0.01,7.56
3,0.08,0.08,0.01,3.82
4,0.12,0.48,0.01,4.48
5,0.09,0.1,0.01,7.8
6,0.09,0.23,0.01,4.13
7,0.09,0.1,0.01,4.97
8,0.18,0.37,0.02,4.16
9,0.08,0.09,0.01,44.45
10,0.08,0.42,0.01,3.75
11,0.15,0.08,0.01,4.24
12,0.08,0.37,0.01,4.78
13,0.13,0.11,0.02,7.15
14,0.12,0.29,0.02,8.53
15,0.1,0.14,0.02,5.41
16,0.11,0.35,0.02,4.78
17,0.11,0.1,0.02,4.91
18,0.08,0.32,0.01,4.12
19,0.08,0.09,0.02,3.08
20,0.09,0.46,0.01,4.97
21,0.09,0.09,0.01,8.74
22,0.07,0.41,0.02,5.25
23,0.09,0.07,0.01,2.81
24,0.11,0.24,0.02,5.53
25,0.08,0.1,0.01,7.58
26,0.11,0.44,0.04,5.03
27,0.08,0.08,0.01,2.61
28,0.13,0.3,0.02,3.69
29,0.08,0.07,0.01,3.13
30,0.13,0.32,0.02,3.03
31,0.08,0.07,0.01,4.17
32,0.32,0.33,0.02,4.11
33,0.12,0.08,0.01,3.48
34,0.21,0.29,0.01,3.44
35,0.11,0.08,0.01,4.37
36,0.11,0.28,0.02,2.82
37,0.1,0.08,0.01,5.88
38,0.1,0.37,0.01,3.16
39,0.11,0.09,0.01,3.74
40,0.08,0.44,18.16,22.08
41,0.08,0.11,13.81,21.29
42,0.07,0.65,21.12,30.25
43,0.07,0.23,7.38,13.06
44,0.07,1.19,8.94,18.96
45,0.13,0.38,15.81,26.84
46,0.07,0.76,16.02,25.28
47,0.12,0.28,12.93,21.4
48,0.07,0.72,12.72,18.16
49,0.08,0.17,9.65,19.19
50,0.07,0.77,16.23,26.99
51,0.08,0.17,10.43,17.85
52,0.11,1.29,15.19,28.67
53,0.09,0.18,12.58,23.17
54,0.21,0.6,20.94,30.01
55,0.21,0.17,11.88,17.89
56,0.07,0.83,11.14,19.77
57,0.07,0.17,14.11,21.77
58,0.12,1.15,16.96,28.44
59,0.09,0.23,16.27,25.74
60,0.15,0.62,22.52,29.41
61,0.09,0.24,16.67,29.01
62,0.11,0.73,17.27,28.1
63,0.07,0.2,14.2,21.3
64,0.09,0.67,23.05,32.4
65,0.08,0.19,11.91,18.78
66,0.07,0.7,15.5,26.3
67,0.07,0.2,16.52,24.48
68,0.07,0.86,20.06,30.71
69,0.07,0.18,16.14,28.13
70,0.07,0.73,23.73,35.5
71,0.07,0.23,15.56,26.48
72,0.08,0.66,11.33,18.27
73,0.1,0.26,18.53,28.47
74,0.07,0.69,8.8,20.56
75,0.24,0.31,14.94,24.32
76,0.09,1.18,25.98,36.33
77,0.11,0.29,12.18,21.9
78,0.07,0.72,19.92,30.99
79,0.11,0.17,22.08,35.33
80,0.07,0.75,25.19,35.48
81,0.07,0.18,11.57,20.08
82,0.09,0.8,14.27,23.55
83,0.1,0.23,12.62,20.95
84,0.08,0.87,17.95,28.84
85,0.07,0.17,10.61,21.67
86,0.08,0.99,21.62,34.62
87,0.08,0.16,11.47,18.82
88,0.08,0.89,16.44,27.48
89,0.07,0.17,12.39,19.48
90,0.1,1.1,15.02,25.47
91,0.07,0.18,17.94,26.24
92,0.12,0.96,22.81,31.95
93,0.09,0.21,11.52,18.83
94,0.15,0.96,15.87,26.11
95,0.07,0.18,24.86,33.27
96,0.14,1.5,19.95,29.23
97,0.07,0.18,19.15,36.39
98,0.09,0.83,26.15,42.46
99,0.1,0.3,19.43,26.06
100,0.12,0.85,21.43,29.79
101,0.07,0.18,16.02,27.08
102,0.07,0.68,23.47,33.66
103,0.07,0.17,12.84,21.68
104,0.07,0.62,17.66,26.62
105,0.06,0.17,13.36,23.08
106,0.07,0.74,18.18,28.92
107,0.08,0.36,14.94,23.76
108,0.08,0.65,16.24,25.34
109,0.14,0.41,12.53,24.99
110,0.08,0.72,18.43,29.83
111,0.1,0.24,21.07,34.43
112,0.08,0.69,16.94,25.11
113,0.11,0.19,12.66,22.91
114,0.07,0.66,18.07,30.52
115,0.09,0.17,17.13,24.63
116,0.09,0.98,14.61,27.03
117,0.09,0.17,14.91,23.57
118,0.1,0.98,20.16,33.7
119,0.09,0.26,17.53,25.99
120,0.19,0.73,21.35,32.3
121,0.24,0.19,14.19,25.9
122,0.08,0.67,18.08,27.7
123,0.22,0.2,17.6,25.35
124,0.39,2.93,20.72,32.04
125,0.07,0.17,13.86,21.36
126,0.11,0.92,19.17,28.81
127,0.21,0.23,17.99,28.13
128,0.18,0.95,20.36,29.76
129,0.08,0.17,18.57,30.95
130,0.13,0.82,22.05,30.62
131,0.08,0.19,19.39,30.39
132,0.11,1.19,20.12,30.41
133,0.08,0.22,17.98,28.94
134,0.09,0.68,22.42,37.19
135,0.14,0.26,18.72,28.87
136,0.09,0.74,17.02,25.22
137,0.08,0.2,16.72,26.32
138,0.09,0.64,26.41,37.48
139,0.19,0.31,20.6,30.09
140,0.07,0.58,18.13,26.37
141,0.13,0.29,14.62,23.79
142,0.12,0.76,24.03,33.29
143,0.1,0.35,21.36,28.91
144,0.07,0.8,22.01,31.17
145,0.12,0.26,22.04,32.43
146,0.1,1.43,23.66,33.36
147,0.11,0.17,15.27,26.78
148,0.08,0.84,20.52,31.44
149,0.09,0.19,19.13,31.65
150,0.09,0.74,19.6,31.47
151,0.08,0.18,19.77,28.52
152,0.14,0.74,15.9,27.42
153,0.08,0.17,19.01,28.23
154,0.11,0.76,34.33,48.65
155,0.08,0.18,13.71,22.07
156,0.14,0.7,23.82,32.99
157,0.12,0.29,24.83,38.74
158,0.11,0.82,24.56,37.74
159,0.09,0.19,20.36,29.91
160,0.11,0.66,27.22,36.31
161,0.15,0.21,20.0,32.35
162,0.12,1.0,31.55,42.76
163,0.09,0.19,25.24,34.07
164,0.09,0.73,26.9,38.83
165,0.08,0.19,18.7,28.51
166,0.08,0.64,29.24,43.96
167,0.1,0.27,20.97,32.26
168,0.08,0.66,29.43,36.82
169,0.14,0.37,33.78,48.81
170,0.09,0.67,29.83,40.74
171,0.13,0.51,22.06,30.2
172,0.11,0.67,31.71,49.14
173,0.16,0.68,26.57,38.45
174,0.09,0.61,30.02,40.63
175,0.1,0.34,28.22,41.87
176,0.09,0.65,30.23,40.51
177,0.11,0.37,22.7,32.16
178,0.1,1.58,28.13,38.49
179,0.09,0.19,22.48,34.34
180,0.14,0.72,31.19,42.77
181,0.09,0.18,17.57,27.18
182,0.11,1.25,26.15,38.93
183,0.09,0.19,20.31,30.92
184,0.09,0.74,27.92,40.39
185,0.09,0.29,23.88,35.55
186,0.08,0.7,25.03,36.67
187,0.09,0.21,19.16,29.24
188,0.12,1.43,26.88,39.65
189,0.09,0.21,20.79,31.86
190,0.16,1.35,32.94,42.46
191,0.1,0.27,21.51,31.91
192,0.12,0.68,34.27,43.51
193,0.14,0.24,30.28,41.92
194,0.12,0.85,27.08,37.32
195,0.08,0.18,14.54,21.54
196,0.1,0.73,25.77,36.85
197,0.08,0.23,13.9,20.71
198,0.07,0.72,19.53,29.16
199,0.1,0.19,27.4,42.54
200,0.12,1.03,33.49,51.4
201,0.06,0.27,18.79,31.84
202,0.08,0.66,20.03,31.3
203,0.08,0.2,13.95,21.37
204,0.07,0.65,22.34,33.78
205,0.14,0.2,17.88,31.72
206,0.12,0.7,19.53,30.35
207,0.26,0.32,19.49,27.81
208,0.08,0.8,24.83,35.1
209,0.19,0.34,13.92,22.89
210,0.07,0.74,19.53,32.53
211,0.13,0.33,12.47,21.21
212,0.09,0.97,20.4,31.73
213,0.12,0.33,28.55,41.89
214,0.07,0.59,26.89,42.01
215,0.09,0.19,19.21,27.7
216,0.08,0.72,30.3,43.61
217,0.22,0.18,21.98,32.46
218,0.08,0.88,28.03,38.7
219,0.09,0.2,21.38,31.74
220,0.12,1.19,38.93,50.39
221,0.09,0.2,21.66,30.49
222,0.1,0.86,33.07,43.83
223,0.08,0.22,22.39,32.23
224,0.13,0.9,29.18,39.44
225,0.12,0.38,41.55,53.27
226,0.31,0.74,37.36,56.2
227,0.14,0.35,29.34,37.34
